"date_value","dispoType","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-01-16,"Dismissed/Withdrawn/Etc",0,0,0,7,4,12,0,1,0,0,0,5,1,3,8,6,2,46
2014-01-16,"Diversion",0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,3,3,4
2014-01-16,"Guilty",0,0,2,0,0,1,0,0,0,0,0,1,0,1,8,5,4,4
2014-01-16,"Guilty Plea/Nolo",2,0,1,1,1,1,1,0,0,0,0,6,0,3,1,11,7,7
2014-01-16,"Not Guilty/Acquittal",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4
2014-01-16,"Total",2,0,3,8,6,16,1,1,0,0,0,12,1,7,29,26,17,65
2014-01-17,"Dismissed/Withdrawn/Etc",0,0,1,3,1,1,2,0,0,0,0,4,7,1,8,4,16,23
2014-01-17,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,1
2014-01-17,"Guilty",0,0,0,2,0,0,0,0,0,0,0,2,3,0,13,7,8,14
2014-01-17,"Guilty Plea/Nolo",0,1,1,0,0,3,0,0,0,0,3,2,0,1,6,2,10,8
2014-01-17,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5
2014-01-17,"Total",0,1,2,5,1,4,2,0,0,0,3,8,10,3,33,17,41,51
2014-01-18,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2014-01-18,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2014-01-19,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2014-01-19,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2014-01-21,"Dismissed/Withdrawn/Etc",0,0,9,5,1,6,3,1,0,0,1,1,0,2,2,6,5,31
2014-01-21,"Diversion",0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4
2014-01-21,"Guilty",2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,3,4
2014-01-21,"Guilty Plea/Nolo",1,4,3,0,0,2,3,0,0,0,0,0,1,1,0,11,4,15
2014-01-21,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2014-01-21,"Total",3,4,12,5,1,9,6,1,0,0,1,6,1,3,12,19,12,54
2014-01-22,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-22,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-23,"Dismissed/Withdrawn/Etc",0,1,2,3,5,11,4,0,0,0,0,4,2,0,6,2,5,24
2014-01-23,"Diversion",0,0,0,0,0,0,0,0,0,0,0,12,1,0,9,1,0,7
2014-01-23,"Guilty",0,0,0,0,1,1,0,0,0,0,0,1,0,0,10,4,1,17
2014-01-23,"Guilty Plea/Nolo",0,0,1,0,3,4,2,1,0,0,1,6,0,0,3,24,4,15
2014-01-23,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2014-01-23,"Total",0,1,3,3,9,16,6,1,0,0,1,23,3,0,28,32,10,64
2014-01-24,"Dismissed/Withdrawn/Etc",0,0,0,1,3,6,5,0,0,0,1,3,4,1,10,6,4,13
2014-01-24,"Diversion",0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,7
2014-01-24,"Guilty",0,0,0,0,0,5,0,0,0,0,2,2,2,0,16,6,3,10
2014-01-24,"Guilty Plea/Nolo",1,2,0,2,2,4,2,3,0,0,0,0,1,0,3,12,3,7
2014-01-24,"Not Guilty/Acquittal",0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,2
2014-01-24,"Total",1,2,0,3,5,19,8,3,0,0,3,6,8,1,33,26,16,39
2014-01-25,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,15,3,10
2014-01-25,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,15,3,10
2014-01-26,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2014-01-26,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2014-01-27,"Dismissed/Withdrawn/Etc",0,0,0,4,6,5,3,0,0,0,1,1,5,0,1,5,3,40
2014-01-27,"Diversion",0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,1,0,1
2014-01-27,"Guilty",0,0,0,0,0,1,0,1,0,0,2,1,2,1,12,4,8,12
2014-01-27,"Guilty Plea/Nolo",0,0,5,2,4,0,1,3,0,0,0,5,2,0,4,12,9,8
2014-01-27,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8
2014-01-27,"Total",0,0,5,6,10,6,4,4,0,0,4,8,9,2,23,23,21,69
2014-01-28,"Dismissed/Withdrawn/Etc",0,0,1,0,2,6,2,0,0,0,0,1,0,0,4,6,2,21
2014-01-28,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4
2014-01-28,"Guilty",0,0,0,0,1,1,0,0,0,0,0,5,0,0,7,7,5,11
2014-01-28,"Guilty Plea/Nolo",0,3,1,2,1,4,3,0,0,0,0,3,3,0,1,21,6,11
2014-01-28,"Not Guilty/Acquittal",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5
2014-01-28,"Total",0,3,2,2,4,12,6,0,1,0,0,9,3,0,17,35,13,52
2014-01-29,"Dismissed/Withdrawn/Etc",0,1,2,3,1,8,2,0,0,0,1,4,0,0,11,8,6,22
2014-01-29,"Diversion",0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,5
2014-01-29,"Guilty",0,0,0,1,1,2,0,0,0,0,1,6,2,1,12,14,3,8
2014-01-29,"Guilty Plea/Nolo",0,0,2,1,1,3,9,2,0,0,0,10,1,0,11,10,3,18
2014-01-29,"Not Guilty/Acquittal",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,1,3
2014-01-29,"Total",0,1,4,6,3,14,12,2,0,0,3,21,3,1,38,34,13,56
2014-01-30,"Dismissed/Withdrawn/Etc",0,3,6,3,0,10,3,0,0,0,1,5,1,1,3,3,6,37
2014-01-30,"Diversion",0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,2,4,7
2014-01-30,"Guilty",1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,6,0,6
2014-01-30,"Guilty Plea/Nolo",0,0,1,3,0,0,5,0,0,0,0,3,1,0,2,26,11,27
2014-01-30,"Not Guilty/Acquittal",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0
2014-01-30,"Total",1,3,7,7,1,10,8,0,0,0,1,10,3,1,18,39,25,77
2014-01-31,"Dismissed/Withdrawn/Etc",0,2,0,2,4,2,1,1,0,0,0,4,2,1,11,19,8,10
2014-01-31,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,3,6
2014-01-31,"Guilty",1,1,0,0,3,0,0,0,0,0,2,4,5,0,12,13,6,18
2014-01-31,"Guilty Plea/Nolo",0,0,0,0,0,2,4,0,0,0,0,2,0,1,2,2,10,11
2014-01-31,"Not Guilty/Acquittal",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
2014-01-31,"Total",1,3,0,2,7,5,5,1,0,0,2,10,9,2,42,37,27,48
2014-02-01,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
2014-02-01,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
2014-02-02,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2014-02-02,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2014-02-03,"Dismissed/Withdrawn/Etc",0,1,3,3,4,10,1,1,0,1,1,1,1,2,8,2,5,29
2014-02-03,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,6
2014-02-03,"Guilty",0,0,0,0,0,1,0,0,0,0,2,3,1,0,13,9,1,7
2014-02-03,"Guilty Plea/Nolo",3,0,0,0,0,1,4,0,0,0,0,1,1,1,0,6,9,7
2014-02-03,"Not Guilty/Acquittal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3
2014-02-03,"Total",3,1,3,3,4,12,6,1,0,1,3,5,3,3,32,21,17,52
2014-02-04,"Dismissed/Withdrawn/Etc",0,0,0,5,2,11,2,0,0,1,1,4,1,1,7,6,6,17
2014-02-04,"Diversion",0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1
2014-02-04,"Guilty",0,0,1,0,0,1,1,0,0,0,0,1,0,0,14,2,0,11
2014-02-04,"Guilty Plea/Nolo",1,2,2,3,2,2,1,0,0,0,0,2,1,1,3,14,7,10
2014-02-04,"Not Guilty/Acquittal",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-02-04,"Total",1,2,3,9,4,14,4,0,0,1,1,10,2,2,41,22,14,39
2014-02-05,"Dismissed/Withdrawn/Etc",0,0,3,2,0,4,1,0,0,0,0,3,2,4,9,6,4,19
2014-02-05,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2
2014-02-05,"Guilty",0,0,0,0,0,1,0,0,0,0,1,5,2,0,10,6,2,9
2014-02-05,"Guilty Plea/Nolo",0,0,0,1,2,4,2,0,0,0,1,4,2,0,2,8,2,13
2014-02-05,"Not Guilty/Acquittal",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,9
2014-02-05,"Total",0,0,3,3,3,9,3,0,0,0,2,12,7,4,23,22,8,52
2014-02-06,"Dismissed/Withdrawn/Etc",0,1,0,5,3,18,3,0,0,1,1,8,1,1,3,6,2,31
2014-02-06,"Diversion",0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,3,9
2014-02-06,"Guilty",0,0,0,1,0,1,2,0,0,0,0,0,0,0,5,2,2,2
2014-02-06,"Guilty Plea/Nolo",0,0,3,2,1,2,2,0,0,0,2,1,0,0,1,19,9,12
2014-02-06,"Not Guilty/Acquittal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2014-02-06,"Total",0,1,3,8,4,22,7,0,0,1,3,13,1,1,17,27,16,56
2014-02-07,"Dismissed/Withdrawn/Etc",0,0,1,3,0,8,3,0,0,0,21,3,1,3,4,4,13,13
2014-02-07,"Diversion",0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,5,3
2014-02-07,"Guilty",3,0,0,0,0,0,0,0,0,0,1,11,2,1,17,7,4,13
2014-02-07,"Guilty Plea/Nolo",0,1,2,5,0,10,2,0,0,0,2,2,2,0,1,10,9,9
2014-02-07,"Not Guilty/Acquittal",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2
2014-02-07,"Total",3,1,3,8,0,18,6,1,0,0,24,17,5,5,27,21,31,40
2014-02-08,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-02-08,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2014-02-08,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
2014-02-09,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2014-02-09,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2014-02-10,"Dismissed/Withdrawn/Etc",0,0,0,9,3,12,4,1,1,0,0,2,0,2,5,4,4,31
2014-02-10,"Diversion",0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,1,0,2
2014-02-10,"Guilty",1,0,0,0,1,4,0,0,0,0,1,3,0,1,8,8,11,7
2014-02-10,"Guilty Plea/Nolo",0,0,15,6,2,6,6,0,0,0,0,4,1,0,6,20,8,6
2014-02-10,"Not Guilty/Acquittal",0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,3
2014-02-10,"Total",1,0,15,15,8,24,11,1,1,0,1,10,1,5,25,34,25,49
2014-02-11,"Dismissed/Withdrawn/Etc",0,0,1,2,4,12,1,0,0,0,1,3,2,2,4,5,4,27
2014-02-11,"Diversion",0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,1,0,1
2014-02-11,"Guilty",0,1,0,1,0,1,0,0,0,0,1,2,1,0,13,4,3,7
2014-02-11,"Guilty Plea/Nolo",0,1,3,1,2,6,3,0,0,0,0,4,0,0,5,24,9,14
2014-02-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2014-02-11,"Total",0,2,4,4,6,19,4,0,0,0,2,11,4,3,32,35,17,51
2014-02-12,"Dismissed/Withdrawn/Etc",0,0,0,2,1,3,3,0,0,0,0,4,5,2,8,5,12,17
2014-02-12,"Diversion",0,0,0,0,0,0,1,1,0,0,0,2,1,0,14,8,0,7
2014-02-12,"Guilty",0,0,0,2,0,6,0,0,0,0,0,3,1,0,15,10,4,8
2014-02-12,"Guilty Plea/Nolo",1,0,7,4,0,0,12,0,0,0,0,1,2,1,4,17,16,12
2014-02-12,"Not Guilty/Acquittal",0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,5
2014-02-12,"Total",1,0,7,8,3,9,16,1,0,0,0,10,9,3,44,41,32,49
2014-02-14,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014-02-14,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-02-14,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2014-02-15,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,"Diversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-02-15,"Guilty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
